,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),GDP ($ per capita),Literacy (%),Arable (%),Birthrate,Deathrate,Temp C° 1961-1990,Country Code,precipitation mm/y 1992,precipitation mm/y 2002,precipitation mm/y 2014,renewable freshwater m3/capita 1992,renewable freshwater m3/capita 2002,renewable freshwater m3/capita 2014,annual water withdraw % 2002
115,Lebanon,NEAR EAST,3874050,10400,372.5,4800.0,87.4,16.62,18.52,6.21,16.4,LBN,661.0,661.0,661.0,1560.40117914316,1147.71992286366,766.478081122124,26.375
116,Lesotho,SUB-SAHARAN AFRICA,2022331,30355,66.6,3000.0,84.8,10.87,24.75,28.71,11.85,LSO,788.0,788.0,788.0,2934.4352895300103,2576.57172106616,2559.4133804957,0.837476099426386
117,Liberia,SUB-SAHARAN AFRICA,3042004,111370,27.3,1000.0,57.5,3.95,44.77,23.1,25.3,LBR,2391.0,2391.0,2391.0,99918.8658809047,66121.6261027021,45876.7681193163,0.0654
118,Libya,NORTHERN AFRICA,5900754,1759540,3.4,6400.0,82.6,1.03,26.49,3.48,21.8,LBY,56.0,56.0,56.0,150.50898914937702,126.557356064963,110.027653092869,615.428571428571
119,Liechtenstein,WESTERN EUROPE,33987,160,212.4,25000.0,100.0,25.0,10.21,7.18,5.65,LIE,56.0,56.0,,,,,
120,Lithuania,BALTICS,3585906,65200,55.0,11400.0,99.6,45.22,8.75,10.98,6.2,LTU,656.0,656.0,656.0,4178.249643119099,4490.182735334521,5272.19137304437,17.9042690815006
121,Luxembourg,WESTERN EUROPE,474413,2586,183.5,55100.0,100.0,23.28,11.94,8.41,8.65,LUX,934.0,934.0,934.0,2549.88206795436,2241.27304308847,1797.52983450143,6.05
122,Macau,ASIA,453125,28,16183.0,19400.0,94.5,0.0,8.48,4.47,,,,,,,,,
123,Macedonia,EASTERN EUROPE,2050554,25333,80.9,6700.0,,22.26,12.02,8.77,9.8,,,,,,,,
124,Madagascar,SUB-SAHARAN AFRICA,18595469,587040,31.7,800.0,68.9,5.07,41.41,11.11,22.65,MDG,1513.0,1513.0,1513.0,27395.3983534797,20101.2614466096,14285.7827169753,3.9673590504451
125,Malawi,SUB-SAHARAN AFRICA,13013926,118480,109.8,600.0,62.7,23.38,43.13,19.33,21.9,MWI,1181.0,1181.0,1181.0,1666.32717229338,1377.8780064034604,990.819875822153,8.2094175960347
126,Malaysia,ASIA,24385858,329750,74.0,9000.0,88.7,5.48,22.86,5.05,25.4,MYS,2875.0,2875.0,2875.0,30522.0491282903,23958.6348386392,19419.7128634738,1.60362068965517
127,Maldives,ASIA,359008,300,1196.7,3900.0,97.2,13.33,34.81,7.06,27.65,MDV,1972.0,1972.0,1972.0,126.97606501174499,101.976300707716,68.9631392020965,
128,Mali,SUB-SAHARAN AFRICA,11716829,1240000,9.5,900.0,46.4,3.82,49.82,16.89,28.25,MLI,282.0,282.0,282.0,6779.405161432329,5164.89486383056,3543.1215609576398,
129,Malta,WESTERN EUROPE,400214,316,1266.5,17700.0,92.8,28.13,10.22,8.1,19.2,MLT,560.0,560.0,560.0,137.3708577926,127.53523634425899,116.21003410361799,67.3267326732673
130,Marshall Islands,OCEANIA,60422,11854,5.1,1600.0,93.7,16.67,33.05,4.78,27.4,MHL,560.0,560.0,,,,,
131,Martinique,LATIN AMER. & CARIB,436131,1100,396.5,14400.0,97.7,10.38,13.74,6.48,,,,,,,,,
132,Mauritania,SUB-SAHARAN AFRICA,3177388,1030700,3.1,1800.0,41.7,0.48,40.99,12.16,27.65,MRT,92.0,92.0,92.0,186.685148496368,143.98334976543302,101.757970701845,399.75
133,Mauritius,SUB-SAHARAN AFRICA,1240827,2040,608.3,11400.0,85.6,49.26,15.43,6.86,22.4,MUS,2041.0,2041.0,2041.0,2536.79084431518,2283.70582946836,2181.71609299139,22.173754998182503
134,Mayotte,SUB-SAHARAN AFRICA,201234,374,538.1,2600.0,,,40.95,7.7,,,,,,,,,
135,Mexico,LATIN AMER. & CARIB,107449525,1972550,54.5,9000.0,92.2,12.99,20.69,4.74,21.0,MEX,758.0,758.0,758.0,4697.09275683261,4022.23507283166,3398.2764739363697,17.677261613691893
